left,right,dist,cont
False,False,24.01,f
False,False,20.89,f
False,False,19.93,tr
False,False,19.93,tr
False,False,79.06,tr
False,False,78.12,tr
False,False,79.68,tr
False,False,77.21,f
False,False,12.26,tr
False,False,12.26,tr
False,False,12.26,tr
False,False,38.43,tr
False,False,36.71,tr
False,False,36.08,f
True,False,33.59,tr
True,False,33.59,tr
True,False,28.13,tr
True,False,28.13,tr
True,False,28.13,tr
False,False,37.65,f
False,False,31.33,f
False,False,27.37,f
False,False,19.87,tr
False,False,19.87,tr
False,False,19.87,tr
False,False,108.34,tr
False,False,107.05,tr
False,False,111.44,f
False,False,13.2,tr
False,False,13.2,tr
False,False,13.2,tr
False,False,99.95,tr
False,False,105.87,tr
False,False,100.78,f
True,False,95.11,tr
True,False,95.11,tr
False,False,87.67,f
True,False,122.65,tr
True,False,122.65,tr
False,False,70.22,f
False,False,112.21,f
False,False,96.55,f
False,False,89.25,f
False,False,79.77,f
False,False,73.02,f
False,False,75.68,f
False,False,69.17,f
False,False,59.03,f
False,False,114.73,f
False,False,56.99,f
False,False,108.28,f
False,False,101.2,f
False,False,104.98,f
False,False,113.64,f
False,False,107.01,f
False,False,99.71,f
False,False,21.58,f
False,False,18.23,tr
False,False,18.23,tr
False,True,3.4,tr
False,True,2.86,tr
False,True,2.92,tr
False,True,2.91,tl
False,True,2.91,tl
False,True,83.21,tl
False,True,83.21,tl
False,True,83.21,tl
False,True,75.21,tl
False,True,75.21,tl
False,False,58.66,f
False,False,49.02,f
False,False,45.89,f
False,False,42.46,f
False,False,37.96,f
False,False,29.22,f
False,False,26.09,f
False,False,19.41,tr
False,False,19.41,tr
False,False,34.71,tr
False,False,15.04,tr
False,False,33.28,tr
False,False,12.5,tr
False,False,12.5,tr
False,False,56.11,tr
False,False,34.95,tr
False,False,57.94,tr
False,False,57.54,f
False,False,54.39,f
False,False,45.78,f
False,False,42.87,f
False,False,33.11,f
True,False,31.93,tr
True,False,31.93,tr
False,False,21.3,f
False,False,19.86,tr
False,False,19.86,tr
False,False,31.98,tr
False,False,27.4,tr
False,False,29.05,tr
False,False,29.47,f
False,False,20.65,f
False,False,19.41,tr
False,False,19.41,tr
False,False,21.65,tr
False,False,21.65,tr
False,False,21.24,tr
False,False,21.53,f
False,False,50.02,f
False,False,19.03,tr
False,False,19.03,tr
False,False,19.03,tr
False,False,17.85,tr
False,False,11.68,tr
False,False,17.04,tr
False,False,17.04,tr
False,False,17.4,tr
False,False,12.01,tr
False,False,17.39,tr
False,False,17.82,tr
False,False,17.82,tr
False,False,11.61,tr
False,False,16.97,tr
False,False,17.38,tr
False,False,17.39,tr
False,False,17.39,tr
False,False,17.4,tr
False,False,17.4,tr
False,False,12.85,tr
False,False,16.98,tr
False,False,16.98,tr
False,False,17.41,tr
False,False,16.99,tr
False,False,12.45,tr
False,False,12.44,tr
False,False,12.44,tr
False,False,17.39,tr
False,False,12.85,tr
False,False,17.79,tr
False,False,17.8,tr
False,False,17.8,tr
False,True,16.93,tr
False,False,17.27,tr
False,False,22.35,tr
False,False,18.65,tr
False,False,18.65,tr
False,False,18.65,tr
False,False,11.29,tr
False,False,33.82,tr
False,False,64.72,f
False,False,57.82,f
False,False,86.08,f
False,False,102.41,f
False,False,123.53,f
False,False,106.61,f
False,False,87.9,f
False,False,68.69,f
False,False,51.27,f
False,False,37.01,f
False,False,27.02,f
False,False,22.64,f
False,False,21.65,f
False,False,21.9,f
False,False,24.37,f
False,False,22.59,f
False,False,19.94,tr
False,False,19.94,tr
False,False,19.94,tr
False,False,16.55,tr
False,False,16.58,tr
False,False,16.57,tr
False,False,16.57,tr
False,False,16.57,tr
False,False,55.63,tr
False,False,51.45,tr
False,False,54.51,f
False,False,47.6,f
False,False,40.44,f
False,False,33.59,f
True,False,31.46,tr
True,False,31.46,tr
True,False,22.94,tr
True,False,22.94,tr
True,False,22.94,tr
False,False,29.21,f
False,False,26.04,f
False,False,19.95,tr
False,False,19.95,tr
False,False,19.95,tr
False,False,109.03,tr
False,False,108.6,tr
False,False,109.67,f
False,False,104.18,f
True,False,102.21,tr
True,False,102.21,tr
True,False,48.56,tr
True,False,48.56,tr
True,False,48.56,tr
True,False,178.75,tr
True,False,178.75,tr
True,False,178.75,tr
True,False,14.01,tr
True,False,14.01,tr
True,False,10.17,tr
True,False,10.17,tr
True,False,10.17,tr
True,True,41.99,b
False,True,1191.23,tl
False,True,1191.23,tl
False,True,1191.23,tl
False,True,73.06,tl
False,True,73.06,tl
False,True,14.35,tl
False,True,14.35,tl
False,True,14.35,tl
False,False,12.77,tr
False,False,12.77,tr
False,False,10.84,tr
False,False,10.77,tr
False,False,10.42,tr
False,False,10.84,tr
False,False,10.84,tr
False,False,85.42,tr
False,False,73.73,tr
False,False,83.36,tr
False,False,90.5,f
False,False,69.77,f
True,False,68.41,tr
True,False,68.41,tr
True,False,68.41,tr
False,False,36.43,f
True,False,34.52,tr
True,False,34.52,tr
True,False,28.06,tr
True,False,28.06,tr
True,False,28.06,tr
False,False,42.63,f
False,False,72.06,f
False,False,33.53,f
False,False,34.88,f
False,False,31.63,f
False,False,28.21,f
False,False,23.66,f
False,False,19.95,tr
False,False,19.95,tr
False,False,19.95,tr
False,False,57.16,tr
False,False,57.78,tr
False,False,106.92,f
False,False,87.26,f
True,False,86.32,tr
True,False,86.32,tr
True,False,86.32,tr
True,False,133.44,tr
True,False,133.44,tr
True,False,104.74,tr
True,False,104.74,tr
True,False,104.74,tr
True,False,101.1,tr
True,False,101.1,tr
False,False,9.99,tr
False,False,9.99,tr
False,False,9.99,tr
False,False,5.16,tr
False,False,7.3,tr
False,False,6.29,tr
False,False,6.29,tr
False,False,6.29,tr
False,True,1191.02,tr
False,True,21.66,tr
False,True,21.89,tl
False,True,21.89,tl
False,True,21.89,tl
False,False,17.56,tr
False,False,17.56,tr
False,False,14.09,tr
False,False,14.08,tr
False,False,14.14,tr
False,False,14.08,tr
False,False,14.08,tr
False,False,12.67,tr
False,False,12.67,tr
False,False,13.08,tr
False,False,12.66,tr
False,False,12.66,tr
False,False,77.15,tr
False,False,77.98,tr
False,False,75.44,tr
False,False,74.49,f
True,False,73.6,tr
True,False,73.6,tr
True,False,73.6,tr
True,False,62.54,tr
True,False,62.54,tr
True,False,37.55,tr
True,False,37.55,tr
True,False,37.55,tr
False,False,31.95,f
False,False,41.69,f
False,False,38.09,f
False,False,29.64,f
False,False,27.03,f
False,False,21.01,f
False,False,19.99,tr
False,False,19.99,tr
False,False,10.25,tr
False,False,10.23,tr
False,False,10.24,tr
False,False,10.25,tr
False,False,10.25,tr
False,False,9.13,tr
False,False,8.72,tr
False,False,8.7,tr
False,False,8.71,tr
False,False,8.71,tr
True,False,94.75,tr
True,False,96.42,tr
True,False,93.93,tr
True,False,89.73,tr
True,False,89.73,tr
True,False,83.87,tr
True,False,83.87,tr
True,False,83.87,tr
True,False,96.36,tr
True,False,96.36,tr
True,False,96.72,tr
True,False,96.72,tr
True,False,96.72,tr
True,False,96.28,tr
True,False,96.28,tr
True,False,100.71,tr
True,False,100.71,tr
True,False,100.71,tr
True,False,92.1,tr
True,False,92.1,tr
True,False,90.07,tr
True,False,90.07,tr
True,False,90.07,tr
True,False,92.14,tr
True,False,92.14,tr
True,False,67.7,tr
True,False,67.7,tr
True,False,67.7,tr
True,False,61.73,tr
True,False,61.73,tr
True,False,71.06,tr
True,False,71.06,tr
True,False,71.06,tr
True,True,64.03,b
False,True,1191.55,tl
False,True,1191.55,tl
False,False,5.84,tr
False,False,5.84,tr
False,False,5.84,tr
True,True,1191.39,tr
True,False,29.09,tr
True,False,1191.49,tr
True,False,1191.49,tr
True,False,1191.49,tr
True,False,82.72,tr
True,False,82.72,tr
True,False,65.84,tr
True,False,65.84,tr
True,False,65.84,tr
True,False,1191.4,tr
True,False,1191.4,tr
True,False,1191.4,tr
True,False,1191.37,tr
True,False,1191.37,tr
True,False,1191.37,tr
True,False,1191.38,tr
True,False,1191.38,tr
True,False,1191.38,tr
True,False,1191.35,tr
True,False,1191.35,tr
True,False,1191.39,tr
True,False,1191.39,tr
True,False,1191.39,tr
True,False,62.72,tr
True,False,62.72,tr
True,False,62.72,tr
True,False,57.0,tr
True,False,57.0,tr
True,False,57.29,tr
True,False,57.29,tr
True,False,57.29,tr
True,False,267.08,tr
True,False,267.08,tr
False,True,74.89,tl
False,True,74.89,tl
False,True,74.89,tl
False,True,55.39,tl
False,True,55.39,tl
False,False,55.04,f
False,False,62.5,f
False,False,335.16,f
False,False,63.5,f
False,False,62.34,f
False,False,332.02,f
False,False,141.79,f
False,False,48.73,f
False,False,53.11,f
False,False,69.25,f
False,False,41.32,f
False,False,38.79,f
False,False,83.12,f
True,False,1191.31,tr
True,False,1191.31,tr
True,False,1191.31,tr
True,False,104.34,tr
True,False,104.34,tr
True,False,147.35,tr
True,False,147.35,tr
True,False,147.35,tr
True,False,146.53,tr
True,False,146.53,tr
True,False,146.47,tr
True,False,146.47,tr
True,False,146.47,tr
True,False,146.5,tr
True,False,146.5,tr
True,False,145.66,tr
True,False,145.66,tr
True,False,145.66,tr
True,False,1191.23,tr
True,False,1191.23,tr
True,False,1191.23,tr
True,False,48.47,tr
True,False,48.47,tr
True,False,227.35,tr
True,False,227.35,tr
True,False,227.35,tr
True,False,104.13,tr
True,False,104.13,tr
True,False,104.13,tr
True,False,226.39,tr
True,False,226.39,tr
True,False,146.36,tr
True,False,146.36,tr
True,False,146.36,tr
True,False,144.91,tr
True,False,144.91,tr
True,False,180.86,tr
True,False,180.86,tr
True,False,180.86,tr
False,False,178.22,f
False,False,174.9,f
False,False,153.64,f
False,False,164.31,f
False,False,158.86,f
False,False,153.71,f
False,False,148.73,f
False,False,144.59,f
False,False,58.24,f
False,False,57.0,f
False,False,73.9,f
False,False,107.76,f
False,False,104.87,f
False,False,107.6,f
False,False,72.79,f
False,False,96.36,f
False,False,91.53,f
False,False,74.8,f
False,False,61.97,f
False,False,79.46,f
False,False,63.1,f
False,False,70.24,f
False,False,58.18,f
False,False,59.9,f
False,False,53.1,f
False,False,51.32,f
False,False,48.18,f
False,False,43.52,f
False,False,95.78,f
False,False,92.05,f
False,False,29.87,f
False,False,84.54,f
False,False,75.92,f
False,False,66.87,f
False,False,38.31,f
False,False,35.14,f
True,False,35.01,tr
True,False,35.01,tr
False,False,55.36,f
False,False,57.31,f
False,False,49.02,f
False,False,50.21,f
False,False,42.76,f
False,False,39.27,f
False,False,39.21,f
False,False,80.08,f
False,False,6.35,tr
False,False,6.35,tr
False,False,6.35,tr
False,False,2.27,tr
False,False,2.27,tr
False,False,2.69,tr
False,False,2.69,tr
False,False,2.69,tr
False,False,2.69,tr
False,False,2.68,tr
False,False,2.68,tr
False,False,2.68,tr
False,False,2.68,tr
False,False,165.98,tr
False,False,56.87,tr
False,False,109.54,f
False,False,99.61,f
False,False,78.17,f
True,False,109.84,tr
True,False,109.84,tr
True,False,109.84,tr
True,False,157.73,tr
True,False,157.73,tr
True,False,157.52,tr
True,False,157.52,tr
True,False,157.52,tr
True,False,157.93,tr
True,False,157.93,tr
True,False,157.48,tr
True,False,157.48,tr
True,False,157.48,tr
True,False,157.01,tr
True,False,157.01,tr
True,False,158.25,tr
True,False,158.25,tr
True,False,158.25,tr
True,False,160.68,tr
True,False,160.68,tr
False,False,157.84,f
True,False,155.65,tr
True,False,155.65,tr
True,False,101.56,tr
True,False,101.56,tr
True,False,101.56,tr
True,False,101.32,tr
True,False,101.32,tr
True,False,101.79,tr
True,False,101.79,tr
True,False,101.79,tr
True,False,100.13,tr
True,False,100.13,tr
True,False,99.71,tr
True,False,99.71,tr
True,False,99.71,tr
True,False,100.16,tr
True,False,100.16,tr
True,False,100.57,tr
True,False,100.57,tr
True,False,100.57,tr
True,False,101.85,tr
True,False,101.85,tr
True,False,101.85,tr
True,False,102.69,tr
True,False,102.69,tr
True,False,101.81,tr
True,False,101.81,tr
True,False,101.81,tr
True,False,101.83,tr
True,False,101.83,tr
True,False,102.73,tr
True,False,102.73,tr
True,False,102.73,tr
True,False,100.25,tr
True,False,100.25,tr
True,False,99.75,tr
True,False,99.75,tr
True,False,99.75,tr
True,False,99.1,tr
True,False,99.1,tr
True,False,98.65,tr
True,False,98.65,tr
True,False,98.65,tr
True,False,79.27,tr
True,False,79.27,tr
True,False,75.47,tr
True,False,75.47,tr
True,False,75.47,tr
False,False,70.95,f
False,False,65.88,f
False,False,67.76,f
False,False,75.44,f
False,False,69.76,f
False,False,58.13,f
False,False,53.36,f
False,False,49.44,f
False,False,45.12,f
False,False,42.93,f
False,False,47.36,f
False,False,44.84,f
False,False,29.04,f
False,False,24.73,f
False,False,33.25,f
False,False,19.18,tr
False,False,19.18,tr
True,False,135.92,tr
True,False,134.67,tr
True,False,135.52,tr
True,False,135.49,tr
True,False,135.49,tr
True,False,134.56,tr
True,False,134.56,tr
True,False,134.56,tr
True,False,33.88,tr
True,False,33.88,tr
True,False,134.45,tr
True,False,134.45,tr
True,False,134.45,tr
True,False,134.82,tr
True,False,134.82,tr
True,False,134.37,tr
True,False,134.37,tr
True,False,134.37,tr
True,False,134.36,tr
True,False,134.36,tr
True,False,134.36,tr
True,False,134.36,tr
True,False,134.36,tr
True,False,135.69,tr
True,False,135.69,tr
True,False,135.69,tr
True,False,135.67,tr
True,False,135.67,tr
True,False,134.42,tr
True,False,134.42,tr
True,False,134.42,tr
True,False,134.86,tr
True,False,134.86,tr
True,False,135.26,tr
True,False,135.26,tr
True,False,135.26,tr
True,False,136.11,tr
True,False,136.11,tr
True,False,134.84,tr
True,False,134.84,tr
True,False,134.84,tr
True,False,134.81,tr
True,False,134.81,tr
True,False,134.84,tr
True,False,134.84,tr
True,False,134.84,tr
True,False,134.9,tr
True,False,134.9,tr
True,False,134.9,tr
True,False,135.74,tr
True,False,135.74,tr
True,False,135.7,tr
True,False,135.7,tr
True,False,135.7,tr
True,False,134.36,tr
True,False,134.36,tr
True,False,134.38,tr
True,False,134.38,tr
True,False,134.38,tr
True,False,135.64,tr
True,False,135.64,tr
True,False,136.05,tr
True,False,136.05,tr
True,False,136.05,tr
True,False,134.78,tr
True,False,134.78,tr
True,False,135.6,tr
True,False,135.6,tr
True,False,135.6,tr
True,False,134.15,tr
True,False,134.15,tr
True,False,30.8,tr
True,False,30.8,tr
True,False,30.8,tr
False,False,134.73,f
False,False,137.27,f
False,False,137.03,f
False,False,138.25,f
False,False,53.57,f
False,False,48.64,f
False,False,49.27,f
False,False,46.66,f
False,False,50.56,f
False,False,47.25,f
False,False,49.92,f
False,False,49.91,f
False,False,47.97,f
False,False,46.65,f
False,False,48.5,f
False,False,48.29,f
False,False,48.6,f
False,False,47.83,f
False,False,48.01,f
False,False,48.38,f
False,False,135.93,f
False,False,136.87,f
False,False,136.4,f
True,False,138.23,tr
True,False,138.23,tr
True,False,138.23,tr
False,False,92.07,f
False,False,137.27,f
False,False,92.91,f
False,False,92.48,f
False,False,137.69,f
False,False,136.82,f
False,False,92.05,f
False,False,135.92,f
False,False,134.07,f
False,False,90.23,f
False,False,82.94,f
False,False,82.76,f
False,False,83.19,f
False,False,83.08,f
False,False,81.07,f
False,False,81.9,f
False,False,82.29,f
False,False,81.83,f
False,False,82.25,f
False,False,83.35,f
False,False,84.6,f
False,False,85.25,f
False,False,81.04,f
False,False,81.54,f
False,False,85.07,f
False,False,85.55,f
False,False,88.42,f
False,False,89.33,f
False,False,89.7,f
False,False,88.39,f
False,False,84.6,f
False,False,83.83,f
False,False,77.93,f
False,False,75.67,f
False,False,72.0,f
False,False,71.14,f
False,False,114.87,f
False,False,109.37,f
False,False,105.41,f
False,False,97.68,f
False,False,98.15,f
False,False,96.85,f
False,False,92.16,f
False,False,81.83,f
False,False,77.21,f
False,False,72.57,f
False,False,70.14,f
False,False,66.52,f
False,False,63.93,f
False,False,60.61,f
False,False,64.86,f
False,False,61.61,f
False,False,60.14,f
False,False,57.79,f
False,False,54.52,f
False,False,50.82,f
False,False,49.27,f
False,False,45.3,f
False,False,45.94,f
False,False,42.52,f
False,False,40.81,f
